trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country,sentiment
#DONT_FIGHT_THE_FEELING,http://twitter.com/search?q=%23DONT_FIGHT_THE_FEELING,%23DONT_FIGHT_THE_FEELING,2107538,10:20.8,Mexico,Positive
#EXO_SignalReceived,http://twitter.com/search?q=%23EXO_SignalReceived,%23EXO_SignalReceived,427116,10:20.8,Mexico,Positive
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160807,10:20.8,United States,Positive
#PanVisibilityDay,http://twitter.com/search?q=%23PanVisibilityDay,%23PanVisibilityDay,14413,10:20.8,United States,Positive
#TheView,http://twitter.com/search?q=%23TheView,%23TheView,,10:20.8,United States,Positive
#MondayMotivation,http://twitter.com/search?q=%23MondayMotivation,%23MondayMotivation,125679,10:20.8,United States,Positive
#mondaythoughts,http://twitter.com/search?q=%23mondaythoughts,%23mondaythoughts,32327,10:20.8,United States,Positive
#COVID19Vic,http://twitter.com/search?q=%23COVID19Vic,%23COVID19Vic,,20:59.9,Australia,Positive
#estimates,http://twitter.com/search?q=%23estimates,%23estimates,,20:59.9,Australia,Positive
#SpringSt,http://twitter.com/search?q=%23SpringSt,%23SpringSt,,20:59.9,Australia,Positive
#ScoMosDossier,http://twitter.com/search?q=%23ScoMosDossier,%23ScoMosDossier,,20:59.9,Australia,Positive
#auspol,http://twitter.com/search?q=%23auspol,%23auspol,42768,20:59.9,Australia,Positive
#forafelipemelo,http://twitter.com/search?q=%23forafelipemelo,%23forafelipemelo,10212,20:59.9,Brazil,Positive
#PazuelloGovernadorRJ,http://twitter.com/search?q=%23PazuelloGovernadorRJ,%23PazuelloGovernadorRJ,,20:59.9,Brazil,Positive
#AnjosEmSodoma,http://twitter.com/search?q=%23AnjosEmSodoma,%23AnjosEmSodoma,,20:59.9,Brazil,Positive
#NBBnaESPN,http://twitter.com/search?q=%23NBBnaESPN,%23NBBnaESPN,,20:59.9,Brazil,Positive
#nbanosportv,http://twitter.com/search?q=%23nbanosportv,%23nbanosportv,,20:59.9,Brazil,Positive
#GoHabsGo,http://twitter.com/search?q=%23GoHabsGo,%23GoHabsGo,,20:59.9,Canada,Positive
#TORvsMTL,http://twitter.com/search?q=%23TORvsMTL,%23TORvsMTL,,20:59.9,Canada,Positive
#WWERaw,http://twitter.com/search?q=%23WWERaw,%23WWERaw,17881,20:59.9,Canada,Positive
#911onFOX,http://twitter.com/search?q=%23911onFOX,%23911onFOX,20997,20:59.9,Canada,Positive
#leafsnation,http://twitter.com/search?q=%23leafsnation,%23leafsnation,,20:59.9,Canada,Positive
#patronincognito,http://twitter.com/search?q=%23patronincognito,%23patronincognito,,20:59.9,France,Positive
#titanic,http://twitter.com/search?q=%23titanic,%23titanic,,20:59.9,France,Positive
#PlanB,http://twitter.com/search?q=%23PlanB,%23PlanB,,20:59.9,France,Positive
#911onFOX,http://twitter.com/search?q=%23911onFOX,%23911onFOX,21024,20:59.9,France,Positive
#LDBS,http://twitter.com/search?q=%23LDBS,%23LDBS,,20:59.9,France,Positive
#DHDL,http://twitter.com/search?q=%23DHDL,%23DHDL,,20:59.9,Germany,Positive
#911onFOX,http://twitter.com/search?q=%23911onFOX,%23911onFOX,20939,20:59.9,Germany,Positive
#Tatort,http://twitter.com/search?q=%23Tatort,%23Tatort,,20:59.9,Germany,Positive
#Vonovia,http://twitter.com/search?q=%23Vonovia,%23Vonovia,,20:59.9,Germany,Positive
#DeutscheWohnen,http://twitter.com/search?q=%23DeutscheWohnen,%23DeutscheWohnen,,20:59.9,Germany,Positive
#मोदी_पनौती_है,http://twitter.com/search?q=%23%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80_%E0%A4%AA%E0%A4%A8%E0%A5%8C%E0%A4%A4%E0%A5%80_%E0%A4%B9%E0%A5%88,%23%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80_%E0%A4%AA%E0%A4%A8%E0%A5%8C%E0%A4%A4%E0%A5%80_%E0%A4%B9%E0%A5%88,,20:59.9,India,Positive
#GodMorningTuesday,http://twitter.com/search?q=%23GodMorningTuesday,%23GodMorningTuesday,,20:59.9,India,Positive
#tuesdaymotivations,http://twitter.com/search?q=%23tuesdaymotivations,%23tuesdaymotivations,,20:59.9,India,Positive
#tuesdayvibe,http://twitter.com/search?q=%23tuesdayvibe,%23tuesdayvibe,,20:59.9,India,Positive
#मोदी_कायर_है,http://twitter.com/search?q=%23%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80_%E0%A4%95%E0%A4%BE%E0%A4%AF%E0%A4%B0_%E0%A4%B9%E0%A5%88,%23%E0%A4%AE%E0%A5%8B%E0%A4%A6%E0%A5%80_%E0%A4%95%E0%A4%BE%E0%A4%AF%E0%A4%B0_%E0%A4%B9%E0%A5%88,89180,20:59.9,India,Positive
#isola,http://twitter.com/search?q=%23isola,%23isola,41501,20:59.9,Italy,Positive
#partitadelcuore,http://twitter.com/search?q=%23partitadelcuore,%23partitadelcuore,,20:59.9,Italy,Positive
#tommasozorzi,http://twitter.com/search?q=%23tommasozorzi,%23tommasozorzi,61086,20:59.9,Italy,Positive
#FOTIKITAKA,http://twitter.com/search?q=%23FOTIKITAKA,%23FOTIKITAKA,10746,20:59.9,Italy,Positive
#nazionalecantanti,http://twitter.com/search?q=%23nazionalecantanti,%23nazionalecantanti,,20:59.9,Italy,Positive
#Maignan,http://twitter.com/search?q=%23Maignan,%23Maignan,,20:59.9,Italy,Positive
#IlTraditore,http://twitter.com/search?q=%23IlTraditore,%23IlTraditore,,20:59.9,Italy,Positive
#gregorandoxdoccia,http://twitter.com/search?q=%23gregorandoxdoccia,%23gregorandoxdoccia,,20:59.9,Italy,Positive
#911onFOX,http://twitter.com/search?q=%23911onFOX,%23911onFOX,20997,20:59.9,Italy,Positive
#BuonCompleannoEmma,http://twitter.com/search?q=%23BuonCompleannoEmma,%23BuonCompleannoEmma,,20:59.9,Italy,Positive
#Reportrai3,http://twitter.com/search?q=%23Reportrai3,%23Reportrai3,,20:59.9,Italy,Positive
#faribona,http://twitter.com/search?q=%23faribona,%23faribona,,20:59.9,Italy,Positive
#bestofme,http://twitter.com/search?q=%23bestofme,%23bestofme,,20:59.9,Italy,Positive
#chiNonTrova,http://twitter.com/search?q=%23chiNonTrova,%23chiNonTrova,,20:59.9,Italy,Positive
#Eurovision2022,http://twitter.com/search?q=%23Eurovision2022,%23Eurovision2022,11788,20:59.9,Italy,Positive
#cinegasparri,http://twitter.com/search?q=%23cinegasparri,%23cinegasparri,,20:59.9,Italy,Positive
#cumtributeِ,http://twitter.com/search?q=%23cumtribute%D9%90,%23cumtribute%D9%90,,20:59.9,Ukraine,Positive
#StaySelcaDay,http://twitter.com/search?q=%23StaySelcaDay,%23StaySelcaDay,210658,20:59.9,Ukraine,Positive
#hornyِ,http://twitter.com/search?q=%23horny%D9%90,%23horny%D9%90,27501,20:59.9,Ukraine,Positive
#nsfwِ,http://twitter.com/search?q=%23nsfw%D9%90,%23nsfw%D9%90,55945,20:59.9,Ukraine,Positive
#COVID19,http://twitter.com/search?q=%23COVID19,%23COVID19,347028,20:59.9,Ukraine,Positive
#VivaHotSale,http://twitter.com/search?q=%23VivaHotSale,%23VivaHotSale,,20:59.9,Mexico,Positive
#NoEresPandiluxSi,http://twitter.com/search?q=%23NoEresPandiluxSi,%23NoEresPandiluxSi,,20:59.9,Mexico,Positive
#VoyConCosasBuenas,http://twitter.com/search?q=%23VoyConCosasBuenas,%23VoyConCosasBuenas,,20:59.9,Mexico,Positive
#LopezObradorEresLaBestia,http://twitter.com/search?q=%23LopezObradorEresLaBestia,%23LopezObradorEresLaBestia,11320,20:59.9,Mexico,Positive
#ConvoySensible,http://twitter.com/search?q=%23ConvoySensible,%23ConvoySensible,,20:59.9,Mexico,Positive
